photo_number,filename,label,genus
43,043_Heraclides_anchisiades_anchisiades.png,Heraclides anchisiades anchisiades,Heraclides
44,044_Heraclides_anchisiades_anchisiades.png,Heraclides anchisiades anchisiades,Heraclides
45,045_Heraclides_anchisiades_anchisiades.png,Heraclides anchisiades anchisiades,Heraclides
46,046_Heraclides_anchisiades_anchisiades.png,Heraclides anchisiades anchisiades,Heraclides
47,047_Heraclides_anchisiades_anchisiades.png,Heraclides anchisiades anchisiades,Heraclides
48,048_Heraclides_anchisiades_idaeus.png,Heraclides anchisiades idaeus,Heraclides
49,049_Heraclides_anchisiades_idaeus.png,Heraclides anchisiades idaeus,Heraclides
50,050_Heraclides_anchisiades_idaeus.png,Heraclides anchisiades idaeus,Heraclides
51,051_Heraclides_anchisiades_idaeus.png,Heraclides anchisiades idaeus,Heraclides
52,052_Heraclides_anchisiades_lamasi.png,Heraclides anchisiades lamasi,Heraclides
53,053_Heraclides_anchisiades_lamasi.png,Heraclides anchisiades lamasi,Heraclides
54,054_Heraclides_androgeus_androgeus.png,Heraclides androgeus androgeus,Heraclides
55,055_Heraclides_androgeus_androgeus.png,Heraclides androgeus androgeus,Heraclides
56,056_Heraclides_androgeus_epidaurus.png,Heraclides androgeus epidaurus,Heraclides
57,057_Heraclides_androgeus_epidaurus.png,Heraclides androgeus epidaurus,Heraclides
58,058_Heraclides_androgeus_epidaurus.png,Heraclides androgeus epidaurus,Heraclides
59,059_Heraclides_androgeus_epidaurus.png,Heraclides androgeus epidaurus,Heraclides
60,060_Heraclides_androgeus_epidaurus.png,Heraclides androgeus epidaurus,Heraclides
61,061_Heraclides_androgeus_epidaurus.png,Heraclides androgeus epidaurus,Heraclides
62,062_Heraclides_androgeus_epidaurus.png,Heraclides androgeus epidaurus,Heraclides
63,063_Heraclides_androgeus_epidaurus.png,Heraclides androgeus epidaurus,Heraclides
64,064_Heraclides_androgeus_epidaurus.png,Heraclides androgeus epidaurus,Heraclides
65,065_Heraclides_androgeus_epidaurus.png,Heraclides androgeus epidaurus,Heraclides
66,066_Heraclides_astyalus_phanias.png,Heraclides astyalus phanias,Heraclides
67,067_Heraclides_astyalus_phanias.png,Heraclides astyalus phanias,Heraclides
68,068_Heraclides_astyalus_phanias.png,Heraclides astyalus phanias,Heraclides
69,069_Heraclides_chiansiades_chiansiades.png,Heraclides chiansiades chiansiades,Heraclides
70,070_Heraclides_chiansiades_chiansiades.png,Heraclides chiansiades chiansiades,Heraclides
71,071_Heraclides_garleppi_interruptus.png,Heraclides garleppi interruptus,Heraclides
72,072_Heraclides_garleppi_interruptus.png,Heraclides garleppi interruptus,Heraclides
73,073_Heraclides_isidorus_flavencens.png,Heraclides isidorus flavencens,Heraclides
74,074_Heraclides_isidorus_flavencens.png,Heraclides isidorus flavencens,Heraclides
75,075_Heraclides_isidorus_flavencens.png,Heraclides isidorus flavencens,Heraclides
76,076_Heraclides_paeon_thrason.png,Heraclides paeon thrason,Heraclides
77,077_Heraclides_paeon_thrason.png,Heraclides paeon thrason,Heraclides
78,078_Heraclides_paeon_thrason.png,Heraclides paeon thrason,Heraclides
79,079_Heraclides_thoas_cinyras.png,Heraclides thoas cinyras,Heraclides
80,080_Heraclides_thoas_cinyras.png,Heraclides thoas cinyras,Heraclides
81,081_Heraclides_thoas_cinyras.png,Heraclides thoas cinyras,Heraclides
82,082_Heraclides_thoas_cinyras.png,Heraclides thoas cinyras,Heraclides
83,083_Heraclides_thoas_cinyras.png,Heraclides thoas cinyras,Heraclides
84,084_Heraclides_thoas_cinyras.png,Heraclides thoas cinyras,Heraclides
85,085_Heraclides_thoas_cinyras.png,Heraclides thoas cinyras,Heraclides
86,086_Heraclides_thoas_nealces.png,Heraclides thoas nealces,Heraclides
87,087_Heraclides_thoas_nealces.png,Heraclides thoas nealces,Heraclides
88,088_Heraclides_thoas_nealces.png,Heraclides thoas nealces,Heraclides
89,089_Heraclides_thoas_nealces.png,Heraclides thoas nealces,Heraclides
90,090_Heraclides_thoas_nealces.png,Heraclides thoas nealces,Heraclides
91,091_Heraclides_thoas_nealces.png,Heraclides thoas nealces,Heraclides
92,092_Heraclides_torquatus_torquatus.png,Heraclides torquatus torquatus,Heraclides
93,093_Heraclides_torquatus_torquatus.png,Heraclides torquatus torquatus,Heraclides
94,094_Mimoides_ariarathes_gayi.png,Mimoides ariarathes gayi,Mimoides
95,095_Mimoides_ariarathes_gayi.png,Mimoides ariarathes gayi,Mimoides
96,096_Mimoides_euryleon_clusoculis.png,Mimoides euryleon clusoculis,Mimoides
97,097_Mimoides_euryleon_euryleon.png,Mimoides euryleon euryleon,Mimoides
98,098_Mimoides_euryleon_euryleon.png,Mimoides euryleon euryleon,Mimoides
99,099_Mimoides_euryleon_euryleon.png,Mimoides euryleon euryleon,Mimoides
100,100_Mimoides_euryleon_euryleon.png,Mimoides euryleon euryleon,Mimoides
101,101_Mimoides_euryleon_euryleon.png,Mimoides euryleon euryleon,Mimoides
102,102_Mimoides_euryleon_euryleon.png,Mimoides euryleon euryleon,Mimoides
103,103_Mimoides_euryleon_pithonius.png,Mimoides euryleon pithonius,Mimoides
104,104_Mimoides_euryleon_pithonius.png,Mimoides euryleon pithonius,Mimoides
105,105_Mimoides_euryleon_pithonius.png,Mimoides euryleon pithonius,Mimoides
106,106_Mimoides_euryleon_pithonius.png,Mimoides euryleon pithonius,Mimoides
107,107_Mimoides_ilus_ilus.png,Mimoides ilus ilus,Mimoides
108,108_Mimoides_pausanias_cleombrotus.png,Mimoides pausanias cleombrotus,Mimoides
109,109_Mimoides_pausanias_cleombrotus.png,Mimoides pausanias cleombrotus,Mimoides
110,110_Mimoides_pausanias_cleombrotus.png,Mimoides pausanias cleombrotus,Mimoides
111,111_Mimoides_pausanias_cleombrotus.png,Mimoides pausanias cleombrotus,Mimoides
112,112_Mimoides_pausanias_cleombrotus.png,Mimoides pausanias cleombrotus,Mimoides
113,113_Mimoides_pausanias_cleombrotus.png,Mimoides pausanias cleombrotus,Mimoides
114,114_Mimoides_pausanias_hermolaus.png,Mimoides pausanias hermolaus,Mimoides
115,115_Mimoides_pausanias_hermolaus.png,Mimoides pausanias hermolaus,Mimoides
116,116_Mimoides_pausanias_pausanias.png,Mimoides pausanias pausanias,Mimoides
117,117_Mimoides_pausanias_pausanias.png,Mimoides pausanias pausanias,Mimoides
118,118_Mimoides_pausanias_pausanias.png,Mimoides pausanias pausanias,Mimoides
119,119_Mimoides_phaon_therodamas.png,Mimoides phaon therodamas,Mimoides
120,120_Mimoides_phaon_therodamas.png,Mimoides phaon therodamas,Mimoides
121,121_Mimoides_xeniades_halex.png,Mimoides xeniades halex,Mimoides
122,122_Mimoides_xeniades_halex.png,Mimoides xeniades halex,Mimoides
123,123_Mimoides_xynias_trapeza.png,Mimoides xynias trapeza,Mimoides
124,124_Mimoides_xynias_trapeza.png,Mimoides xynias trapeza,Mimoides
125,125_Mimoides_xynias_trapeza.png,Mimoides xynias trapeza,Mimoides
126,126_Mimoides_xynias_trapeza.png,Mimoides xynias trapeza,Mimoides
127,127_Neographium_agesilaus_autosilaus.png,Neographium agesilaus autosilaus,Neographium
128,128_Neographium_agesilaus_autosilaus.png,Neographium agesilaus autosilaus,Neographium
129,129_Neographium_agesilaus_eimeri.png,Neographium agesilaus eimeri,Neographium
130,130_Neographium_dioxippus_dioxippus.png,Neographium dioxippus dioxippus,Neographium
131,131_Neographium_leucaspis_lamidis.png,Neographium leucaspis lamidis,Neographium
132,132_Neographium_leucaspis_lamidis.png,Neographium leucaspis lamidis,Neographium
133,133_Neographium_leucaspis_leucaspis.png,Neographium leucaspis leucaspis,Neographium
134,134_Neographium_leucaspis_leucaspis.png,Neographium leucaspis leucaspis,Neographium
135,135_Neographium_philolaus_xanticles.png,Neographium philolaus xanticles,Neographium
136,136_Neographium_philolaus_xanticles.png,Neographium philolaus xanticles,Neographium
137,137_Neographium_thyastes_panamensis.png,Neographium thyastes panamensis,Neographium
138,138_Neographium_thyastes_panamensis.png,Neographium thyastes panamensis,Neographium
139,139_Neographium_thyastes_thyastinus.png,Neographium thyastes thyastinus,Neographium
140,140_Neographium_thyastes_thyastinus.png,Neographium thyastes thyastinus,Neographium
141,141_Papilio_polyxenes_americus.png,Papilio polyxenes americus,Papilio
142,142_Papilio_polyxenes_americus.png,Papilio polyxenes americus,Papilio
143,143_Papilio_polyxenes_americus.png,Papilio polyxenes americus,Papilio
144,144_Papilio_polyxenes_stabilis.png,Papilio polyxenes stabilis,Papilio
145,145_Papilio_sp.png,Papilio sp,Papilio
146,146_Parides_aeneas_bolivar.png,Parides aeneas bolivar,Parides
147,147_Parides_aeneas_bolivar.png,Parides aeneas bolivar,Parides
148,148_Parides_aeneas_bolivar.png,Parides aeneas bolivar,Parides
149,149_Parides_aeneas_bolivar.png,Parides aeneas bolivar,Parides
150,150_Parides_aeneas_bolivar.png,Parides aeneas bolivar,Parides
151,151_Parides_anchises_drucei.png,Parides anchises drucei,Parides
152,152_Parides_anchises_drucei.png,Parides anchises drucei,Parides
153,153_Parides_anchises_drucei.png,Parides anchises drucei,Parides
154,154_Parides_anchises_drucei.png,Parides anchises drucei,Parides
155,155_Parides_anchises_nephalion.png,Parides anchises nephalion,Parides
156,156_Parides_anchises_serapis.png,Parides anchises serapis,Parides
157,157_Parides_anchises_serapis.png,Parides anchises serapis,Parides
158,158_Parides_chabrias_chabrias.png,Parides chabrias chabrias,Parides
159,159_Parides_chabrias_chabrias.png,Parides chabrias chabrias,Parides
160,160_Parides_chabrias_chabrias.png,Parides chabrias chabrias,Parides
161,161_Parides_childrenae_childrenae.png,Parides childrenae childrenae,Parides
162,162_Parides_childrenae_childrenae.png,Parides childrenae childrenae,Parides
163,163_Parides_childrenae_childrenae.png,Parides childrenae childrenae,Parides
164,164_Parides_childrenae_childrenae.png,Parides childrenae childrenae,Parides
165,165_Parides_childrenae_childrenae.png,Parides childrenae childrenae,Parides
166,166_Parides_childrenae_latifasciata.png,Parides childrenae latifasciata,Parides
167,167_Parides_childrenae_latifasciata.png,Parides childrenae latifasciata,Parides
168,168_Parides_childrenae_unimacula.png,Parides childrenae unimacula,Parides
169,169_Parides_erithalion_cauca.png,Parides erithalion cauca,Parides
170,170_Parides_erithalion_cauca.png,Parides erithalion cauca,Parides
171,171_Parides_erithalion_cauca.png,Parides erithalion cauca,Parides
172,172_Parides_erithalion_erithalion.png,Parides erithalion erithalion,Parides
173,173_Parides_erithalion_erithalion.png,Parides erithalion erithalion,Parides
174,174_Parides_erithalion_erithalion.png,Parides erithalion erithalion,Parides
175,175_Parides_eurimedes_antheas.png,Parides eurimedes antheas,Parides
176,176_Parides_eurimedes_antheas.png,Parides eurimedes antheas,Parides
177,177_Parides_eurimedes_arriphus.png,Parides eurimedes arriphus,Parides
178,178_Parides_eurimedes_arriphus.png,Parides eurimedes arriphus,Parides
179,179_Parides_eurimedes_arriphus.png,Parides eurimedes arriphus,Parides
180,180_Parides_eurimedes_arriphus.png,Parides eurimedes arriphus,Parides
181,181_Parides_eurimedes_arriphus.png,Parides eurimedes arriphus,Parides
182,182_Parides_eurimedes_arriphus.png,Parides eurimedes arriphus,Parides
183,183_Parides_eurimedes_mycale.png,Parides eurimedes mycale,Parides
184,184_Parides_eurimedes_mycale.png,Parides eurimedes mycale,Parides
185,185_Parides_eurimedes_mycale.png,Parides eurimedes mycale,Parides
186,186_Parides_eurimedes_mycale.png,Parides eurimedes mycale,Parides
187,187_Parides_eurimedes_timias.png,Parides eurimedes timias,Parides
188,188_Parides_eurimedes_timias.png,Parides eurimedes timias,Parides
189,189_Parides_eurimedes_timias.png,Parides eurimedes timias,Parides
190,190_Parides_eurimedes_timias.png,Parides eurimedes timias,Parides
191,191_Parides_iphidamas.png,Parides iphidamas,Parides
192,192_Parides_iphidamas_phalias.png,Parides iphidamas phalias,Parides
193,193_Parides_iphidamas_phalias.png,Parides iphidamas phalias,Parides
194,194_Parides_iphidamas_phalias.png,Parides iphidamas phalias,Parides
195,195_Parides_iphidamas_teneates.png,Parides iphidamas teneates,Parides
196,196_Parides_lysander_brissonius.png,Parides lysander brissonius,Parides
197,197_Parides_lysander_brissonius.png,Parides lysander brissonius,Parides
198,198_Parides_lysander_brissonius.png,Parides lysander brissonius,Parides
199,199_Parides_lysander_brissonius.png,Parides lysander brissonius,Parides
200,200_Parides_lysander_brissonius.png,Parides lysander brissonius,Parides
201,201_Parides_lysander_brissonius.png,Parides lysander brissonius,Parides
202,202_Parides_lysander_orinocoensis.png,Parides lysander orinocoensis,Parides
203,203_Parides_lysander_orinocoensis.png,Parides lysander orinocoensis,Parides
204,204_Parides_lysander_orinocoensis.png,Parides lysander orinocoensis,Parides
205,205_Parides_lysander_orinocoensis.png,Parides lysander orinocoensis,Parides
206,206_Parides_neophilus_olivencius.png,Parides neophilus olivencius,Parides
207,207_Parides_neophilus_olivencius.png,Parides neophilus olivencius,Parides
208,208_Parides_neophilus_olivencius.png,Parides neophilus olivencius,Parides
209,209_Parides_neophilus_olivencius.png,Parides neophilus olivencius,Parides
210,210_Parides_neophilus_olivencius.png,Parides neophilus olivencius,Parides
211,211_Parides_orellana.png,Parides orellana,Parides
212,212_Parides_orellana.png,Parides orellana,Parides
213,213_Parides_orellana.png,Parides orellana,Parides
214,214_Parides_orellana.png,Parides orellana,Parides
215,215_Parides_panares_erythrus.png,Parides panares erythrus,Parides
216,216_Parides_panares_erythrus.png,Parides panares erythrus,Parides
217,217_Parides_panares_lycimenes.png,Parides panares lycimenes,Parides
218,218_Parides_panares_lycimenes.png,Parides panares lycimenes,Parides
219,219_Parides_panares_lycimenes.png,Parides panares lycimenes,Parides
220,220_Parides_panares_lycimenes.png,Parides panares lycimenes,Parides
221,221_Parides_phosphorus_vavi.png,Parides phosphorus vavi,Parides
222,222_Parides_phosphorus_vavi.png,Parides phosphorus vavi,Parides
223,223_Parides_sesostris_sesostris.png,Parides sesostris sesostris,Parides
224,224_Parides_sesostris_sesostris.png,Parides sesostris sesostris,Parides
225,225_Parides_sesostris_tarquinios.png,Parides sesostris tarquinios,Parides
226,226_Parides_sesostris_tarquinios.png,Parides sesostris tarquinios,Parides
227,227_Parides_sesostris_tarquinios.png,Parides sesostris tarquinios,Parides
228,228_Parides_sesostris_tarquinios.png,Parides sesostris tarquinios,Parides
229,229_Parides_sesostris_tarquinios.png,Parides sesostris tarquinios,Parides
230,230_Parides_sesostris_tarquinios.png,Parides sesostris tarquinios,Parides
231,231_Parides_sesostris_tarquinios.png,Parides sesostris tarquinios,Parides
232,232_Parides_sesostris_tarquinios.png,Parides sesostris tarquinios,Parides
233,233_Parides_sesostris_tarquinios.png,Parides sesostris tarquinios,Parides
234,234_Parides_sesostris_tarquinios.png,Parides sesostris tarquinios,Parides
235,235_Parides_sp.png,Parides sp,Parides
236,236_Parides_sp.png,Parides sp,Parides
237,237_Parides_sp.png,Parides sp,Parides
238,238_Parides_sp.png,Parides sp,Parides
239,239_Parides_sp.png,Parides sp,Parides
240,240_Parides_sp.png,Parides sp,Parides
241,241_Parides_sp.png,Parides sp,Parides
242,242_Parides_vertumnus_bogotanus.png,Parides vertumnus bogotanus,Parides
243,243_Parides_vertumnus_bogotanus.png,Parides vertumnus bogotanus,Parides
244,244_Parides_vertumnus_bogotanus.png,Parides vertumnus bogotanus,Parides
245,245_Parides_vertumnus_bogotanus.png,Parides vertumnus bogotanus,Parides
246,246_Parides_vertumnus_bogotanus.png,Parides vertumnus bogotanus,Parides
247,247_Protesilaus_glaucolaus_glaucolaus.png,Protesilaus glaucolaus glaucolaus,Protesilaus
248,248_Protesilaus_glaucolaus_leucas.png,Protesilaus glaucolaus leucas,Protesilaus
249,249_Protesilaus_glaucolaus_leucas.png,Protesilaus glaucolaus leucas,Protesilaus
250,250_Protesilaus_macrosilaus_leucones.png,Protesilaus macrosilaus leucones,Protesilaus
251,251_Protesilaus_molops_hetaerius.png,Protesilaus molops hetaerius,Protesilaus
252,252_Protesilaus_protesilaus_archesilaus.png,Protesilaus protesilaus archesilaus,Protesilaus
253,253_Protesilaus_protesilaus_archesilaus.png,Protesilaus protesilaus archesilaus,Protesilaus
254,254_Protesilaus_protesilaus_dariensis.png,Protesilaus protesilaus dariensis,Protesilaus
255,255_Protesilaus_protesilaus_protesilaus.png,Protesilaus protesilaus protesilaus,Protesilaus
256,256_Protesilaus_protesilaus_protesilaus.png,Protesilaus protesilaus protesilaus,Protesilaus
257,257_Protesilaus_telesilaus_dolius.png,Protesilaus telesilaus dolius,Protesilaus
258,258_Protesilaus_telesilaus_telesilaus.png,Protesilaus telesilaus telesilaus,Protesilaus
259,259_Pterourus_ascolius_ascolius.png,Pterourus ascolius ascolius,Pterourus
260,260_Pterourus_ascolius_ascolius.png,Pterourus ascolius ascolius,Pterourus
261,261_Pterourus_ascolius_ascolius.png,Pterourus ascolius ascolius,Pterourus
262,262_Pterourus_bachus_bachus.png,Pterourus bachus bachus,Pterourus
263,263_Pterourus_bachus_bachus.png,Pterourus bachus bachus,Pterourus
264,264_Pterourus_bachus_chrysomelus.png,Pterourus bachus chrysomelus,Pterourus
265,265_Pterourus_bachus_chrysomelus.png,Pterourus bachus chrysomelus,Pterourus
266,266_Pterourus_birchalli_birchalli.png,Pterourus birchalli birchalli,Pterourus
267,267_Pterourus_birchalli_birchalli.png,Pterourus birchalli birchalli,Pterourus
268,268_Pterourus_cacicus_cacicus.png,Pterourus cacicus cacicus,Pterourus
269,269_Pterourus_cacicus_cacicus.png,Pterourus cacicus cacicus,Pterourus
270,270_Pterourus_cacicus_cacicus.png,Pterourus cacicus cacicus,Pterourus
271,271_Pterourus_cacicus_nesrinae.png,Pterourus cacicus nesrinae,Pterourus
272,272_Pterourus_coroebus_syndemis.png,Pterourus coroebus syndemis,Pterourus
273,273_Pterourus_coroebus_syndemis.png,Pterourus coroebus syndemis,Pterourus
274,274_Pterourus_coroebus_syndemis.png,Pterourus coroebus syndemis,Pterourus
275,275_Pterourus_coroebus_syndemis.png,Pterourus coroebus syndemis,Pterourus
276,276_Pterourus_coroebus_syndemis.png,Pterourus coroebus syndemis,Pterourus
277,277_Pterourus_coroebus_syndemis.png,Pterourus coroebus syndemis,Pterourus
278,278_Pterourus_euterpinus.png,Pterourus euterpinus,Pterourus
279,279_Pterourus_euterpinus.png,Pterourus euterpinus,Pterourus
280,280_Pterourus_menatius_eurotas.png,Pterourus menatius eurotas,Pterourus
281,281_Pterourus_menatius_eurotas.png,Pterourus menatius eurotas,Pterourus
282,282_Pterourus_xanthopleura.png,Pterourus xanthopleura,Pterourus
283,283_Pterourus_xanthopleura.png,Pterourus xanthopleura,Pterourus
284,284_Pterourus_zagreus.png,Pterourus zagreus,Pterourus
285,285_Pterourus_zagreus.png,Pterourus zagreus,Pterourus
